GOs	Pvalues
GO:0002181	5.62970419484919e-23
GO:0043043	1.68279101678472e-14
GO:0043603	1.78833728140996e-12
GO:0044271	6.56215670824473e-05
GO:0016072	8.36509649616796e-05
GO:0000470	0.000119429927538379
GO:1901576	0.000279376201707016
GO:0002183	0.000312238184171546
GO:0009067	0.000312238184171546
GO:1901564	0.0005176823467317
GO:0000460	0.000525428156319955
GO:0016053	0.000650133742361991
GO:0002182	0.000940155393608277
GO:0042273	0.00119067154170834
GO:0006450	0.0012122753432941
GO:1901607	0.00167949030292765
GO:0019752	0.00247136354464874
GO:0034470	0.00316123148065051
GO:0008152	0.00358941494482082
GO:0044237	0.00382436647818882
GO:0008652	0.00415035716517064
GO:0010467	0.00471647706117903
GO:0006616	0.00519094023496723
GO:0000096	0.00557040954171697
GO:0098754	0.00680969485524529
GO:0071265	0.00766865715786342
GO:0006537	0.00766865715786342
GO:0022625	7.7076817173744e-13
GO:0044391	8.84609320009147e-07
GO:0030687	8.46994845495485e-05
GO:0000322	0.00010083061441404
GO:1990904	0.000432633070175523
GO:0005852	0.00144245455438171
GO:0005737	0.00378650211637246
GO:0022627	0.00433699015566689
GO:0003735	0.00493917726390858
GO:0003723	0.0074885958234577
GO:1901363	0.0074885958234577
GO:0097159	0.00833446945740656
GO:0090079	0.00879790806423825
GO:0051539	0.00883039962138905
GO:0016765	7.51014185394501e-15
GO:0051540	1.88247905383942e-13
GO:0019843	1.25683765342589e-07
GO:0003955	1.13064576024983e-06
GO:0008137	0.000615792739528391
GO:0016846	0.00204632028335476
GO:0003743	0.00311776882272352
GO:0003954	0.00313976073805417
