GOs	Pvalues
GO:0002181	7.19866258207634e-18
GO:0043043	5.18359993031215e-13
GO:0043603	1.60139120758534e-12
GO:0044271	6.3835459564023e-06
GO:0002182	3.72779771357986e-05
GO:0010467	7.2721138904425e-05
GO:0019538	0.000495728592273939
GO:1901576	0.000586370540633932
GO:0042254	0.00304816132222851
GO:0044237	0.00313824194561523
GO:0000470	0.00390749864754249
GO:0009067	0.0061257046988788
GO:0022625	1.37644351574642e-16
GO:0044391	1.49684520966048e-06
GO:0030687	0.000557480376218945
GO:0043232	0.000608373233467066
GO:0032991	0.00144527655270077
GO:0022626	0.00457378563279906
GO:0003735	3.8272153835362e-18
GO:0003723	2.21461128785784e-16
GO:1901363	1.42566561476637e-05
GO:0097159	0.000552966487546127
GO:0019843	0.000649081440336299
GO:0003746	0.00644700595567304
