GOs	Pvalues
GO:0040003	1.43469190840998e-13
GO:0051612	0.000355558284616555
GO:0006837	0.00359072318129352
GO:0042136	0.00537857571553821
GO:0030195	0.00575760005103113
GO:0006541	0.00911457945249115
GO:0098810	0.00986886967871747
GO:0051580	0.00986886967871747
GO:0031012	7.50648771034299e-18
GO:0005576	1.75713961646608e-17
GO:0005615	0.000941629654815824
GO:0008010	0.00648845918315365
GO:0042302	0.00714352769860604
GO:0004497	0.00784033116761287
GO:0017080	2.49842813914498e-07
GO:0005041	2.85365229786779e-06
GO:0004252	0.00742544168132153
