TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0022625"	"cytosolic large ribosomal subunit"	-15.86124160577662	5.610954914935405	1.014469728138433	0.20021790579421722	0	4.187701134687477	-0.20195736319419563	null
"GO:0022626"	"cytosolic ribosome"	-2.339724194052431	5.789641339954214	1.5308261628412307	0.29025559735765777	0.87433466	null	null	22625
"GO:0044391"	"ribosomal subunit"	-5.824823108184716	5.901851569419728	1.9821488551869784	0.17189975944954775	0.83207123	null	null	22625
"GO:0030687"	"preribosome, large subunit precursor"	-3.2537704155440603	4.726580518201694	0.1323907395608457	0.6064241807916394	0.53614612	3.896225445938408	3.784711700833347	null
"GO:0032991"	"protein-containing complex"	-2.840049042997308	6.900403837280107	19.75554538569037	1	-0	-5.495253619829069	-0.11250350075946351	null
"GO:0043232"	"intracellular non-membrane-bounded organelle"	-3.2158299018071905	6.615538802008931	10.252362128988004	0.3939721111138616	0.58693892	3.89762040532459	-4.024429652844585	null
